exp_id,job_id,job_time,backend,shots,archt,rhs,qubits,layers,cost,operator,innerp,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
16aab2e0-ccfa-4373-b1ab-a2157dc2cc7f,['0f3c3fed-6757-4913-9734-5291a189256f'],"27/09/2022, 16:24:37",simulator,1000,linear_alternating,hn,5,1,Sato21_Innerp,Sato21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
4ec8ee2d-cf28-4e5a-88e8-074d1b658b39,['0fd566b2-74c3-4861-b00f-68e0fb94094c'],"27/09/2022, 16:24:44",simulator,1000,linear_alternating,hn,5,1,Sato21_Nonnorm,Sato21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
02fb212b-deb7-4ac4-ba27-f5640a1e0b01,['55edbc79-28f6-489a-85ed-882e0ebbf96e'],"27/09/2022, 17:31:08",simulator,1000,linear_alternating,hn,5,1,Sato21_Innerp,Sato21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
5a374b2e-d836-4b6d-8cd2-1738e4a8969f,['0c279f1a-a895-4563-af2a-0f3d3c5230fd'],"27/09/2022, 17:31:14",simulator,1000,linear_alternating,hn,5,1,Sato21_Nonnorm,Sato21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
2380bab9-e007-474d-b696-79f617e50a68,"['63331d227fcd17385073cd47', '63331d276ebe090030fb124b', '63331d29c59fb12504b07bd0', '63331d2b6ebe094f30fb124c', '63331d2fc59fb1f387b07bd1', '63331d316ebe09c17ffb124d', '63331d337fcd17126c73cd48', '63331d356ebe091f30fb124e', '63331d397fcd1720fc73cd49', '63331d3a6ebe09b657fb124f', '63331d3c7fcd1754cf73cd4a', '63331d3d6ebe09e6cefb1250']","27/09/2022, 17:56:18",ibmq_ehningen,1000,linear_alternating,hn,5,1,Sato21_Innerp,Sato21,HTest,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
f4ba5473-1742-4802-a5b1-8d864838353a,"['635bdf822227c6c70597c92b', '635bdf8719ac6714210ea0d6', '635bdf8a19ac672b170ea0d7', '635bdf8df4e3dd0202f46735', '635bdf9033259668152f4f80']","28/10/2022, 15:56:18",ibm_hanoi,10,linear_alternating,hnx,5,1,Sato21_Innerp,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
3df409e9-564f-4617-a0ce-fe6904688e4c,"['635bdfb719ac679a310ea0d8', '635bdfc122eb4bc4bd086ded', '635bdfc5c4d85b477bfda175', '635bdfc922eb4b6f11086dee', '635bdfcc19ac671bec0ea0d9']","28/10/2022, 15:57:11",ibm_hanoi,10,linear_alternating,hnx,5,1,Sato21_Nonnorm,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c5b73385-1117-4e4f-8b7d-b40d2dafe664,['b6dab75f-eb1e-4150-9046-67d22c6d8738'],"28/10/2022, 15:57:29",simulator,10,linear_alternating,hnx,5,1,Sato21_Innerp,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
20301366-e85b-4cff-b913-dc5104fcf07f,['66230eae-2bad-4f3b-bdb1-bce2510431fd'],"28/10/2022, 15:57:45",simulator,10,linear_alternating,hnx,5,1,Sato21_Nonnorm,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
b4be965b-2c90-4cbd-add4-6c4e886d587c,"['635be1e74b9702757f4b5661', '635be1ef0b130ed2807f1a9e', '635be1f40b130e4ba67f1a9f', '635be1f7c4d85b25e4fda198', '635be1fbb0c0601f19abe293']","28/10/2022, 16:06:31",ibm_cairo,10,linear_alternating,hnx,5,1,Sato21_Innerp,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
6aceab29-0c89-445b-ba48-9e4a78f23df9,"['635be21bb0c0601e17abe294', '635be2224b97025f0a4b5664', '635be22733259610d72f4f98', '635be22cf4e3dd2474f4674a', '635be23b3325969ff22f4f99']","28/10/2022, 16:07:23",ibm_cairo,10,linear_alternating,hnx,5,1,Sato21_Nonnorm,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
e6da4250-e62f-40a3-ab33-96ff24373ef8,"['635be35f19ac6783f70ea0fc', '635be366c4d85b7e1dfda1a6', '635be36b4b970261e14b5674', '635be37049bfe92ecbd1a1e9', '635be37433259649372f4fb6']","28/10/2022, 16:12:47",ibmq_montreal,10,linear_alternating,hnx,5,1,Sato21_Innerp,SatoLiu21,HTest,10,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
