exp_id,custom_tag,job_time,programm_id,backend,exact,shots,archt,rhs,qubits,layers,optimizer,cost,operator,innerp,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
3ece2209-641f-4f3c-b686-9f87ba50be68,debug_vqa,"10/11/2022, 14:09:30",vqa-poisson1d-zZlPMA0KqZ,simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c0b4ac23-5278-43bb-8d6d-44e94457cb83,debug_vqa,"10/11/2022, 14:09:56",vqa-poisson1d-zZlPMA0KqZ,simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
1bd23496-a346-487c-a8a6-bbbbea5a59f9,debug_vqa,"10/11/2022, 14:16:23",vqa-poisson1d-zZlPMA0KqZ,simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
bc069ea5-3928-4f84-b8e7-931cdbe1273e,debug_vqa,"10/11/2022, 14:17:14",vqa-poisson1d-zZlPMA0KqZ,simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c42ab211-e547-47a8-8f78-3099e8e1b449,debug_vqa,"10/11/2022, 14:17:33",vqa-poisson1d-zZlPMA0KqZ,simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdmfr2q2h6kvivdiqf80,debug_backends,"10/11/2022, 14:32:59",vqa-poisson1d-zZlPMA0KqZ,ibmq_montreal,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdmfrt7tlcfkm5f83c30,debug_backends,"10/11/2022, 14:34:44",vqa-poisson1d-zZlPMA0KqZ,ibmq_montreal,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn2kc08d2t5hfplrpf0,test_mumbai,"11/11/2022, 11:55:44",vqa-poisson1d-zZlPMA0KqZ,ibmq_mumbai,False,100,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3fopic1o4jpi14f00,test_qasm,"11/11/2022, 12:54:11",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3ieo8d2t5hfpm3ceg,test_qasm,"11/11/2022, 12:59:55",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3n6vjab64ufio68j0,test_qasm,"11/11/2022, 13:10:03",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3os88d2t5hfpm52jg,test_qasm,"11/11/2022, 13:13:37",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,SPSA,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3t41o5iu6hiqc7tjg,test_qasm,"11/11/2022, 13:22:40",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3udg8d2t5hfpm6n4g,test_qasm,"11/11/2022, 13:25:26",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn3vpfjab64ufio8n5g,test_qasm,"11/11/2022, 13:28:21",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,POWELL,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn40pfjab64ufio90d0,test_qasm,"11/11/2022, 13:30:29",vqa-poisson1d-zZlPMA0KqZ,ibmq_qasm_simulator,False,100,linear_alternating,hnx,5,3,L_BFGS_B,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn5315li5umfujbh43g,ehningen_11nov22,"11/11/2022, 14:43:40",vqa-poisson1d-rLQxBD6VZx,ibmq_ehningen,False,10000,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdn556ho5iu6hiqcj2b0,lagos_11nov22,"11/11/2022, 14:48:10",vqa-poisson1d-zZlPMA0KqZ,ibm_lagos,False,10000,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cdnq4n7trt2d1cmfoh7g,ehningen_11nov22,"12/11/2022, 14:40:44",vqa-poisson1d-rLQxBD6VZx,ibmq_ehningen,False,10000,linear_alternating,hnx,5,3,NFT,Sato21_Nonnorm,SatoLiu21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
