,backend,archt,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,0,5,5,0,1000,0.990018922010916,0.9654428189507072,0.9793832885637536,0.9870984642031402,0.9915496792148206,0.9930365271571364,0.9953862040539214
1,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,1,10,24,4,1000,0.9796876146955624,0.9587312507022306,0.9676086447820094,0.976843653222733,0.9838496895972604,0.989466248115968,0.9927435374086062
2,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,2,15,42,8,1000,0.9712509546297696,0.9385488273954408,0.9522554792335088,0.963674207329801,0.976730116645546,0.9834731391502264,0.9880888853405112
3,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,3,20,56,12,1000,0.8785705395853647,0.6508269309984762,0.7208502509384677,0.8307063502188109,0.9082896170868248,0.9324339800412652,0.95188669841503
4,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,4,25,70,16,1000,0.7939346739248807,0.6643904754934472,0.6989139285078768,0.7655860869618378,0.8364814364673949,0.8859881674551026,0.9287163131563572
5,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,5,30,84,20,1000,0.7586125946819651,0.5069211098812874,0.6183784621224807,0.7255513350069622,0.80756503469016,0.8550577595312935,0.8778174351225416
6,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,6,35,98,24,1000,0.7245303748690872,0.481617974600605,0.5551549590685758,0.6368333370136102,0.7940243455360836,0.8368577397405618,0.8850354330060682
7,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,7,40,112,28,1000,0.6959918315482307,0.3787113283811371,0.5131637197121927,0.638012200407263,0.7399000438261181,0.808327751302553,0.834633072546393
8,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,8,45,126,32,1000,0.6768334708924086,0.4071536832752231,0.5353699934536521,0.5969559912223273,0.7425309234766162,0.8204691443285073,0.856577395081631
9,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,9,50,140,36,1000,0.6618239667048522,0.4615824345343423,0.5207379671520087,0.5991374670192603,0.7115665971619223,0.7844521619147962,0.8473911285649753
10,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,10,55,154,40,1000,0.655721817801123,0.2933392693207939,0.4294031444772025,0.6075735888246122,0.7002277916582332,0.7741956722318822,0.8033407482709103
11,ibmq_ehningen,linear,['ry'],cz,True,True,True,False,5,11,60,168,44,1000,0.6349050005758066,0.3349032847748583,0.4495625206890992,0.5450934371964321,0.6885543436779066,0.7543603069073443,0.7622824483167948
