job_id,backend,archt,qubits,layers,parameters,depth,cnots,samples,shots,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD,mem,p=0,p=1,p=5,p=10,p=25,p=50,p=75,p=90,p=95,p=99,p=100
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,1,0,1,2,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9892546768509521,0.9897463174478721,0.9917128798355519,0.9941710828201518,0.9969870194034565,0.9988877888840194,0.9996174626250443,0.9998070782615195,0.999818129612216,0.9998269706927732,0.9998291809629125
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,1,1,2,3,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9810914041627481,0.9817284400523227,0.9842765836106211,0.987461763058494,0.9984342323474222,0.9994186430972005,0.9998845876080692,0.999963712507633,0.9999645136741238,0.9999651546073163,0.9999653148406145
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,1,2,3,4,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9949240549796389,0.9950685776730446,0.9956466684466676,0.9963692819136963,0.9982596169018636,0.998919045258144,0.9997338002352251,0.9999468801870129,0.9999612821903531,0.9999728037930252,0.9999756841936933
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,1,3,4,5,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9717703359468136,0.9738511916789215,0.9821746146073532,0.9925788932678928,0.9960656692498087,0.9972940787739581,0.9989976805377114,0.9993770855716264,0.999554054743696,0.9996956300813516,0.9997310239157655
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,2,0,2,2,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9879110740707087,0.987970066259901,0.9882060350166706,0.9885009959626326,0.9904117626880379,0.9921680737750794,0.9964062041654501,0.9977113859442037,0.9979512774958851,0.9981431907372301,0.9981911690475663
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,2,1,4,4,1,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9789815745524171,0.9793993300829813,0.9810703522052383,0.9831591298580596,0.9846199764338615,0.9921358105037206,0.9952857730571919,0.9972527265474527,0.99738839140186,0.9974969232853859,0.9975240562562673
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,2,2,6,6,2,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9807142923232639,0.9813017585831169,0.9836516236225288,0.9865889549217937,0.989914302745425,0.9933216869667431,0.9946242701668404,0.9979420624932664,0.9983204740446394,0.9986232032857377,0.9986988855960123
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,2,3,8,8,3,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9832827578605817,0.9833335644724058,0.9835367909197021,0.9837908239788226,0.9922782868720494,0.9950570030551515,0.9968379028152633,0.9976500417891918,0.9982946182990503,0.998810279506937,0.9989391948089087
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,3,0,3,2,0,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.960950255238393,0.9611368048010785,0.9618830030518212,0.9628157508652494,0.9759027591202435,0.9803215180522384,0.986169045952454,0.9885194161471703,0.9899204461356551,0.9910412701264429,0.9913214761241399
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,aer_simulator,linear,3,1,6,5,2,10,100,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False,False,0.9710453665897572,0.9714677583388723,0.9731573253353331,0.9752692840809088,0.9785507300058462,0.986114520336733,0.9907461690235672,0.9935825327830453,0.9940351027636762,0.994397158748181,0.9944876727443072
