,backend,archt,rotations,entangler,qubits,layers,parameters,depth,cnots,mem,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,['rx'],cz,5,0,5,6,0,False,1000,0.9903295009447785,0.9757431095106316,0.9835218532832783,0.9881288234017908,0.992309128053261,0.9937090568140944,0.9948357851088256
1,ibmq_ehningen,linear,['rx'],cz,5,1,10,23,4,False,1000,0.9761431462608244,0.9353296440022758,0.9537358972879248,0.9704589152308544,0.9837442935329008,0.9868824481193502,0.9895366979944772
2,ibmq_ehningen,linear,['rx'],cz,5,2,15,31,8,False,1000,0.9652365876805435,0.9381334057448432,0.9455148768867592,0.9614972041567296,0.9727009094350216,0.9842393863524236,0.9874931791890336
3,ibmq_ehningen,linear,['rx'],cz,5,3,20,39,12,False,1000,0.9590783652404438,0.9198565535675128,0.9331701946410428,0.9522973355259028,0.9686059450417912,0.9765221830894486,0.9839988993995978
4,ibmq_ehningen,linear,['rx'],cz,5,4,25,47,16,False,1000,0.8268138666151973,0.6446442568762873,0.6625348138052349,0.7829634277029527,0.8661650221185726,0.8955952568386545,0.9016327111941256
5,ibmq_ehningen,linear,['rx'],cz,5,5,30,55,20,False,1000,0.7907911240190635,0.5245551005664223,0.6324514273344701,0.7500017543892626,0.8262272655197607,0.8749375079199243,0.8971994620352677
6,ibmq_ehningen,linear,['rx'],cz,5,6,35,63,24,False,1000,0.7214571142459073,0.3965935176466046,0.5806887745446581,0.646593483719809,0.76649859821434,0.8226947855497325,0.8804160559536385
7,ibmq_ehningen,linear,['rx'],cz,5,7,40,71,28,False,1000,0.7266077558290176,0.5142620055801795,0.5906209523631029,0.6658427817375975,0.7697201682149564,0.8102888676436725,0.8523641767596444
8,ibmq_ehningen,linear,['rx'],cz,5,8,45,79,32,False,1000,0.7015478148410275,0.5202283092738265,0.5714069909902627,0.6333494524922958,0.7407151809766809,0.8217337881890494,0.8693678045972764
9,ibmq_ehningen,linear,['rx'],cz,5,9,50,87,36,False,1000,0.6806783821517199,0.5159145243029963,0.562482050150606,0.6123106182894941,0.702312687262953,0.7716922446752257,0.8053321583686667
10,ibmq_ehningen,linear,['rx'],cz,5,10,55,95,40,False,1000,0.6654579586050271,0.4573123348303202,0.4951248448838237,0.5986000445907198,0.703884530443366,0.7570791491092509,0.7962382221899038
11,ibmq_ehningen,linear,['rx'],cz,5,11,60,103,44,False,1000,0.6356835622793628,0.3964201512710048,0.4696138659493519,0.5545283489496999,0.7030194554241996,0.7436784557795071,0.7698904177764091
