,backend,archt,shots,rotations,entangler,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibm_cairo,linear,1000,['ry'],cx,3,0,3,5,0,0.9974800962370892,0.9853589360364768,0.990679778140078,0.994906251750846,0.9981491172501602,0.9990455306765266,0.9995447202101992
1,ibm_cairo,linear,1000,['ry'],cx,3,1,6,11,2,0.991490622297816,0.9647821703320554,0.9732207628308894,0.9863912325304,0.9951992239293134,0.9973049325218002,0.9980516931971782
2,ibm_cairo,linear,1000,['ry'],cx,3,2,9,17,4,0.9902842666849704,0.9443691464368053,0.9778527164735026,0.986879494680005,0.9936981189939592,0.9963515025011674,0.9988244750484034
3,ibm_cairo,linear,1000,['ry'],cx,5,0,5,5,0,0.98825703508005,0.970448277133571,0.9749436518851786,0.9860405014168088,0.9902293883870764,0.9918742691521664,0.99444002116983
4,ibm_cairo,linear,1000,['ry'],cx,5,1,10,13,4,0.9731314806951388,0.9115692133004606,0.9509647710941423,0.9677143074565058,0.9798142796467456,0.9873812792460296,0.988517887729645
5,ibm_cairo,linear,1000,['ry'],cx,5,2,15,19,8,0.9631800881180612,0.9168524578739854,0.9354877045560048,0.9493240425625924,0.9703150291695384,0.9785047344501426,0.981335686449674
6,ibm_cairo,linear,1000,['ry'],cx,7,0,7,5,0,0.9701889558608534,0.9445843363337864,0.9508683491551718,0.9643890133144812,0.9769048433156238,0.9841167653845536,0.9871298860004072
7,ibm_cairo,linear,1000,['ry'],cx,7,1,14,15,6,0.9249724868855947,0.7843988279593354,0.8483188555798123,0.8990285760911206,0.9362475204337228,0.9497037689253146,0.9673826296970146
8,ibm_cairo,linear,1000,['ry'],cx,7,2,21,21,12,0.8901771004072302,0.6983403438834266,0.7546918301399175,0.8509590093990242,0.9119690151428832,0.9302050450744214,0.9416399561108462
9,ibm_cairo,linear,1000,['ry'],cx,10,0,10,5,0,0.8973444318280167,0.7821568906976422,0.8044396947549357,0.8685724597573125,0.9167292093458768,0.9389622615921632,0.9443328681962486
10,ibm_cairo,linear,1000,['ry'],cx,10,1,20,18,9,0.7108773082228148,0.4248954320995453,0.4903179768877798,0.6062286466197271,0.7617440274023263,0.7899359035043826,0.8279165143309158
11,ibm_cairo,linear,1000,['ry'],cx,10,2,30,24,18,0.6382071987725406,0.3527600957759977,0.541812547211317,0.5959394993223657,0.6861585585003573,0.7389837382964858,0.7642421851176184
