,backend,archt,shots,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
1,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,0,5,5,0,0.9067235244166728,0.5092256574510035,0.5616667364516869,0.7086184380045614,0.973229594308112,0.9897027586015504,0.9954272402338324
3,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,1,10,24,4,0.9108399440792858,0.5797562343392679,0.6355275031076701,0.7987865903515262,0.9583595706889978,0.972820734990094,0.9914719215201464
5,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,2,15,33,8,0.8772325041846363,0.5181958355032736,0.6716278506313876,0.7697606069442731,0.9379722547788848,0.963467914999532,0.9671862211281076
7,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,3,20,42,12,0.8344466277821947,0.5113178811723663,0.6918829342898651,0.7575054827708201,0.8876297221732383,0.9380261044664496,0.9819479116420388
9,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,4,25,51,16,0.8471206584909043,0.5944553775042233,0.6255597950782655,0.7548124088893,0.8890423337095629,0.9348829188103674,0.9481257577400632
11,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,5,30,60,20,0.8211262907712685,0.5494605915240862,0.6576176362576239,0.7693411572465478,0.8851960653764,0.9183332808343202,0.9440578199800816
13,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,6,35,69,24,0.83488150385633,0.5991201513347291,0.6530016211337228,0.7796987362251928,0.8575971629408399,0.9056674374983402,0.9136002334973936
15,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,7,40,78,28,0.79075929617003,0.5581416203321407,0.6255374663330426,0.7400668579373941,0.8500948719019769,0.8824006910309937,0.9090932853443698
17,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,8,45,87,32,0.7789061025226633,0.559777418710345,0.6130666504323026,0.7506320025539326,0.8293873096177635,0.8717284141971978,0.924604023191437
19,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,9,50,96,36,0.7856948105927057,0.5165800068859584,0.6193535174858629,0.7083702858740114,0.8298431599678361,0.877148959026848,0.8957206356437165
21,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,10,55,105,40,0.7389665333133771,0.5282490285906016,0.6093930443285239,0.6970085972141086,0.8072960388367404,0.8570882633106706,0.9062827155543006
23,ibmq_ehningen,linear,1000,['ry'],cz,True,False,False,False,5,11,60,114,44,0.7214501911791428,0.5002781242093335,0.552560861973446,0.658048707842924,0.7788565832327965,0.8361749540691147,0.8662520376566982
