,backend,qubits,layers,parameters,depth,cnots,mem,shots,p=0,p=5,p=25,p=50,p=75,p=95,p=100
0,ibmq_toronto,3,0,3,5,0,False,1000,0.9900464481710176,0.991056000667586,0.9927926479186288,0.9951885631338272,0.9972518065365557,0.9988018709622792,0.999525498936176
1,ibmq_toronto,3,1,6,11,2,False,1000,0.9625069886559054,0.976781625244456,0.9874067529743972,0.9910763997593216,0.994261630361094,0.9969763239926802,0.9985956500614646
2,ibmq_toronto,3,2,9,17,4,False,1000,0.9599247320028272,0.9715788844992462,0.9820874691320052,0.9881346681648456,0.992092368504647,0.9962135404402118,0.997243992959942
3,ibmq_toronto,5,0,5,5,0,False,1000,0.9367538075259078,0.9602061922069376,0.9782533193864612,0.9853459535423524,0.9887387440882396,0.9927848434034624,0.9949267012559404
4,ibmq_toronto,5,1,10,13,4,False,1000,0.9436331289040072,0.9594779587417545,0.9708889147776828,0.9741083512368156,0.9800219613065092,0.985875621815574,0.989182025007866
5,ibmq_toronto,5,2,15,19,8,False,1000,0.9276199373017664,0.9353493844240744,0.9555842368948976,0.9633054474337416,0.9686844605243544,0.9742123482948628,0.9795521758907412
6,ibmq_toronto,7,0,7,5,0,False,1000,0.8618854481451573,0.8970335646367108,0.9268196588745607,0.9487305431618412,0.9633094175971924,0.9751070043695368,0.9827716290067798
7,ibmq_toronto,7,1,14,15,6,False,1000,0.8759948706171605,0.8867683921612226,0.9106582996854328,0.9240582171356396,0.9411532721832572,0.951735018604072,0.9540961770199076
8,ibmq_toronto,7,2,21,21,12,False,1000,0.8647380525239394,0.8739994453356041,0.9007631999307496,0.9057313855616655,0.9158896543390582,0.9323214950981844,0.9369203449648024
9,ibmq_toronto,10,0,10,5,0,False,1000,0.4623606919627334,0.484633768777429,0.6025410037593438,0.7217437359029149,0.8184576206444933,0.8851657451637327,0.8993238249161297
10,ibmq_toronto,10,1,20,18,9,False,1000,0.5799666408728865,0.615083264086232,0.6719207631917393,0.729849531666787,0.7509262491763926,0.7801635359815827,0.828162045598093
11,ibmq_toronto,10,2,30,24,18,False,1000,0.3473390251285018,0.5253464276174769,0.5813983210337199,0.6314450862172984,0.676644633723633,0.7214955750903834,0.7306178700084787
