,backend,qubits,layers,parameters,depth,cnots,mem,shots,p=0,p=5,p=25,p=50,p=75,p=95,p=100
0,ibmq_brooklyn,3,0,3,5,0,False,1000,0.9635433394053282,0.983990130120058,0.9917638698945082,0.995414733336914,0.99763444806973,0.9989974884963432,0.9993317852209274
1,ibmq_brooklyn,3,1,6,11,2,False,1000,0.9591698055049256,0.9698064201749346,0.982026779855196,0.9887443934358218,0.994061825335372,0.9979598385010282,0.998569515021662
2,ibmq_brooklyn,3,2,9,17,4,False,1000,0.933991224950146,0.961309319079482,0.9762038626913144,0.9829504922930692,0.988668387591708,0.9965999844479516,0.9991080751630116
3,ibmq_brooklyn,5,0,5,5,0,False,1000,0.9503724126817898,0.963818983510844,0.9791356486385372,0.9858044402740334,0.989974612785104,0.9923637335265818,0.994883193915848
4,ibmq_brooklyn,5,1,10,13,4,False,1000,0.9063312903215258,0.947541538401361,0.9625109999194382,0.9703822924911264,0.9750865186940084,0.9828648983063104,0.9864197410255132
5,ibmq_brooklyn,5,2,15,19,8,False,1000,0.912089740475038,0.927158144403137,0.9432653826323258,0.9593496157309818,0.9667199500812732,0.973371780961888,0.9844199042792487
6,ibmq_brooklyn,7,0,7,5,0,False,1000,0.9427390910022644,0.9504742721284056,0.9590469576406032,0.9655595744589482,0.9711440176388236,0.978731084554683,0.9817673440248462
7,ibmq_brooklyn,7,1,14,15,6,False,1000,0.7438328442211394,0.8264521460306574,0.8901065669808264,0.9019464961147972,0.9221865861111614,0.9423266138887588,0.9525636220304616
8,ibmq_brooklyn,7,2,21,21,12,False,1000,0.7490309174411142,0.7990038047488491,0.8545482916047755,0.8841388211736169,0.9017125715593964,0.92469317950276,0.9361576777527352
9,ibmq_brooklyn,10,0,10,5,0,False,1000,0.7856375248706428,0.8036871932109401,0.876793772586101,0.9021407870545636,0.91298743434352,0.9312725637457948,0.9460031023155646
10,ibmq_brooklyn,10,1,20,18,9,False,1000,0.3045313841748936,0.4044647044826425,0.544650515483716,0.6422292307777695,0.6991634766095949,0.7665072573665895,0.8019408907099648
11,ibmq_brooklyn,10,2,30,24,18,False,1000,0.352684240057079,0.4538625756957981,0.5558997262047887,0.5815224921085389,0.6470819315405995,0.6833011594292122,0.7257219282980132
