,backend,qubits,layers,parameters,depth,cnots,mem,shots,p=0,p=5,p=25,p=50,p=75,p=95,p=100
0,ibmq_kolkata,3,0,3,5,0,False,1000,0.990949851245854,0.9937854884267002,0.995621688147058,0.9977553959826936,0.9984275508179526,0.9991166635967472,0.9996030022096196
1,ibmq_kolkata,3,1,6,11,2,False,1000,0.9695128311217348,0.977752620389445,0.990005307858012,0.9949074845093024,0.9965362683866568,0.9979244863055656,0.9988753717602944
2,ibmq_kolkata,3,2,9,17,4,False,1000,0.9748097100905228,0.9791206888201034,0.9878133927842327,0.9919367826183848,0.9954488372213834,0.9978989096415448,0.9988398893103312
3,ibmq_kolkata,5,0,5,5,0,False,1000,0.9748072658230869,0.9770205244491196,0.9874883524157884,0.989866229231694,0.991285721764229,0.993783565611402,0.9948635911093968
4,ibmq_kolkata,5,1,10,13,4,False,1000,0.9620543512452674,0.9683526000382588,0.9797586710912828,0.9840630767710724,0.9872696359108386,0.989972838519853,0.9934398025554646
5,ibmq_kolkata,5,2,15,19,8,False,1000,0.9524589044532752,0.959614075305966,0.966780258612458,0.9732699115855816,0.9791784318236706,0.9845577774099666,0.9874556209140124
6,ibmq_kolkata,7,0,7,5,0,False,1000,0.9505928221662736,0.9598115215914584,0.9656852263979384,0.9704675112277628,0.9751455970981866,0.98224718034815,0.9856954439554946
7,ibmq_kolkata,7,1,14,15,6,False,1000,0.8649088066382864,0.90150563366337,0.9213325892731168,0.939720911556874,0.947274900186504,0.9572786085705496,0.965030899861458
8,ibmq_kolkata,7,2,21,21,12,False,1000,0.8543860170193458,0.8938869914018689,0.9070253922698794,0.9270076044734537,0.9386958709563828,0.9474794638891588,0.9553843765550384
9,ibmq_kolkata,10,0,10,5,0,False,1000,0.7904140759759201,0.7978114194547306,0.8793056349545332,0.904229948977211,0.9257508403595256,0.9387482647360575,0.948322956021042
10,ibmq_kolkata,10,1,20,18,9,False,1000,0.5001603669280268,0.5403015604368258,0.6369184773413015,0.7162084785566698,0.7617639724648977,0.7943946128699544,0.834255748629799
11,ibmq_kolkata,10,2,30,24,18,False,1000,0.3620788541029661,0.5336230076290699,0.6057010984207547,0.6414613936311347,0.6793618343504543,0.7324511147371643,0.7735172158776171
