,backend,archt,shots,rotations,entangler,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_mumbai,linear,1000,['ry'],cx,3,0,3,5,0,0.994681392777372,0.975916565540264,0.9809296105457304,0.9906126688428072,0.996994517931757,0.9988153883443048,0.9991895240137116
1,ibmq_mumbai,linear,1000,['ry'],cx,3,1,6,11,2,0.9903652468790318,0.9556063173509262,0.968541537881834,0.9825863385712852,0.9943946620384682,0.9971227415751664,0.9981585943803866
2,ibmq_mumbai,linear,1000,['ry'],cx,3,2,9,17,4,0.989085220188534,0.9585660802037232,0.9702355079116448,0.9837851685581018,0.9925274178252284,0.9968975227934276,0.997571912916478
3,ibmq_mumbai,linear,1000,['ry'],cx,5,0,5,5,0,0.9855808591856492,0.9547514073883808,0.9642966650239796,0.9770252084198544,0.9889074775925212,0.992745469084087,0.994624414598658
4,ibmq_mumbai,linear,1000,['ry'],cx,5,1,10,13,4,0.972823540043064,0.925198506621084,0.9513501420329784,0.966549567296482,0.9788232480750708,0.9867451585983268,0.9900006103111648
5,ibmq_mumbai,linear,1000,['ry'],cx,5,2,15,19,8,0.937785676390106,0.8955317690884088,0.905167538144636,0.9287290320098156,0.9506812527819748,0.9581977909860512,0.9690920433495314
6,ibmq_mumbai,linear,1000,['ry'],cx,7,0,7,5,0,0.965147209796666,0.9376593180694855,0.9472328948028756,0.956113078970582,0.9715456442460604,0.9788278132984128,0.981933800784173
7,ibmq_mumbai,linear,1000,['ry'],cx,7,1,14,15,6,0.9265452694607624,0.804103733354058,0.8684435192428724,0.8961211611409946,0.9336253117788128,0.9442928651759366,0.9528216865703836
8,ibmq_mumbai,linear,1000,['ry'],cx,7,2,21,21,12,0.9071920429081296,0.8326849080041786,0.8617422769106137,0.8921767378045778,0.9177886934752724,0.9332327470519818,0.937253953847535
9,ibmq_mumbai,linear,1000,['ry'],cx,10,0,10,5,0,0.9019485149052744,0.7700098318429921,0.7967139089993819,0.8769123271050594,0.9153344117457116,0.9312981076585076,0.9361889344154836
10,ibmq_mumbai,linear,1000,['ry'],cx,10,1,20,18,9,0.655836653187827,0.2893782711313676,0.3548080175746856,0.5157543547675614,0.719481671420256,0.7801552196639349,0.7960026424099581
11,ibmq_mumbai,linear,1000,['ry'],cx,10,2,30,24,18,0.6225929273296014,0.4311357813645391,0.5311980696223738,0.597780322804406,0.6557927301034889,0.6963670961158488,0.7312912688501436
