,backend,archt,shots,rotations,entangler,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_kolkata,linear,1000,['ry'],cx,5,0,5,5,0,0.989866229231694,0.9748072658230869,0.9770205244491196,0.9874883524157884,0.991285721764229,0.993783565611402,0.9948635911093968
1,ibmq_kolkata,linear,1000,['ry'],cx,5,1,10,13,4,0.9840630767710724,0.9620543512452674,0.9683526000382588,0.9797586710912828,0.9872696359108386,0.989972838519853,0.9934398025554646
2,ibmq_kolkata,linear,1000,['ry'],cx,5,2,15,19,8,0.9732699115855816,0.9524589044532752,0.959614075305966,0.966780258612458,0.9791784318236706,0.9845577774099666,0.9874556209140124
3,ibmq_kolkata,linear,1000,['ry'],cx,5,3,20,25,12,0.9618356591616232,0.9052427915221416,0.9373418558729832,0.9556061677306072,0.967157985102501,0.9763394311960328,0.9788498214504532
4,ibmq_kolkata,linear,1000,['ry'],cx,5,4,25,31,16,0.9553795305443528,0.9245564374018268,0.9308906179766636,0.9464361280410444,0.9637432984276444,0.974573617219938,0.9777262667872824
5,ibmq_kolkata,linear,1000,['ry'],cx,5,5,30,37,20,0.943373454893176,0.9055585900350176,0.9165966695823708,0.9330251988741444,0.9565337906217224,0.9650964648157732,0.9700885756970165
6,ibmq_kolkata,linear,1000,['ry'],cx,5,6,35,43,24,0.9376176748683194,0.8817455907850341,0.9032920526949292,0.927421417452,0.9467499750298392,0.9644768059053124,0.9789835036775542
7,ibmq_kolkata,linear,1000,['ry'],cx,5,7,40,49,28,0.9300642078008308,0.8753389361338842,0.8962267275097794,0.915476942853811,0.938502020784782,0.9469507515621812,0.9568284989311764
8,ibmq_kolkata,linear,1000,['ry'],cx,5,8,45,55,32,0.9127922038480326,0.845933885686996,0.8713217677378536,0.8993765598144385,0.9282984301928932,0.9395069714035154,0.9529133829786424
9,ibmq_kolkata,linear,1000,['ry'],cx,5,9,50,61,36,0.9012727211129842,0.843599739864175,0.8638217086339012,0.8852875520205152,0.9216393581471768,0.93134703548691,0.9383649501184316
10,ibmq_kolkata,linear,1000,['ry'],cx,5,10,55,67,40,0.898751679695037,0.822891117660498,0.8498137804482522,0.87987380585648,0.9181301477337628,0.9318266454771744,0.9410978072103384
11,ibmq_kolkata,linear,1000,['ry'],cx,5,11,60,73,44,0.8872357909615787,0.7746104009700878,0.8317870608455684,0.8718761942246758,0.9048324071284076,0.923874142300736,0.930589914976644
12,ibmq_kolkata,linear,1000,['ry'],cx,5,12,65,79,48,0.8854061277348658,0.7592148460186953,0.8216406133044012,0.85946267149217,0.902339188644236,0.922264783751348,0.9391093130566808
13,ibmq_kolkata,linear,1000,['ry'],cx,5,13,70,85,52,0.8807346105710939,0.7941233588792268,0.8277957640080152,0.8562046269315609,0.8962041106825805,0.9147483677242758,0.9283629729627206
