,backend,archt,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,0,5,5,0,1000,0.9898522642241624,0.9732293782859692,0.9815474868193566,0.9872891375711336,0.9920468944431412,0.9945328570634344,0.9951489416967249
1,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,1,10,24,4,1000,0.9838116252141408,0.9646783836093302,0.9754823617499075,0.9811400242896158,0.986817710226663,0.98987459472885,0.9907515071008935
2,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,2,15,42,8,1000,0.9787857761985173,0.9579178642307782,0.9652563066077088,0.9733864567897969,0.9828333723247829,0.9865983148534822,0.9889608419325384
3,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,3,20,56,12,1000,0.8770469794752209,0.6480793734585196,0.7236371542458002,0.8371539354706223,0.9139190991395983,0.9333076679602896,0.9606746107013812
4,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,4,25,70,16,1000,0.7975038725847136,0.6512057371480271,0.6814436095319762,0.7546157587895843,0.8413735392591628,0.9000040642340189,0.9266226041486004
5,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,5,30,84,20,1000,0.7544110935932327,0.5110115417733635,0.6022471271021308,0.7203761181884405,0.8100581503344553,0.8563038097122615,0.8758576784538027
6,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,6,35,98,24,1000,0.7142721270781813,0.4672315113881789,0.5461033892545554,0.6297996573351772,0.7955423574428444,0.8375541055545941,0.9018853621750916
7,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,7,40,112,28,1000,0.6911070773509574,0.3793651412749967,0.5095501249806312,0.629481531346741,0.7383218117521556,0.8046354949391014,0.819700212218574
8,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,8,45,126,32,1000,0.6696928666019859,0.3645372579976034,0.5324757138167702,0.5913676320691501,0.7374771895271441,0.8189967291103388,0.8723690227890574
9,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,9,50,140,36,1000,0.6541063965872521,0.4577779059163769,0.5187489957358382,0.598397494869402,0.6978443995198437,0.7826899815773342,0.8571756819009536
10,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,10,55,154,40,1000,0.6512614875609113,0.2973870773999485,0.4197366580521622,0.5954138148842663,0.7000716082302662,0.7689377337872785,0.797782654305826
11,ibmq_ehningen,linear,['ry'],cz,True,True,True,True,5,11,60,168,44,1000,0.6257123605948807,0.3256244509464305,0.4332224035412831,0.5426811943443162,0.6839203452377421,0.7512098096306602,0.7584038847321859
