,backend,archt,shots,rotations,entangler,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_montreal,linear,1000,['ry'],cx,3,0,3,5,0,0.9936340677823144,0.9484015079698654,0.9751575984551324,0.990322066668124,0.9964962728189564,0.9983510418448884,0.9988313589026764
1,ibmq_montreal,linear,1000,['ry'],cx,3,1,6,11,2,0.986741247765726,0.9502783213422066,0.95649846622291,0.9758065041100608,0.9915102942990354,0.9959758738700166,0.997079512758178
2,ibmq_montreal,linear,1000,['ry'],cx,3,2,9,17,4,0.9848952733298736,0.9082281629043906,0.9547506820132124,0.9760389832469052,0.989383350402552,0.9937191765826696,0.9959926538732022
3,ibmq_montreal,linear,1000,['ry'],cx,5,0,5,5,0,0.9807307375473338,0.9446127497994689,0.9570560556305824,0.970660361623069,0.98636481114478,0.9915560638148287,0.9933742541215096
4,ibmq_montreal,linear,1000,['ry'],cx,5,1,10,13,4,0.96037140141958,0.8970589222158362,0.939686962179148,0.9548025182249849,0.9701314986669234,0.9775468015326276,0.987838877942794
5,ibmq_montreal,linear,1000,['ry'],cx,5,2,15,19,8,0.9423712010267636,0.8829721397593658,0.8963403569454131,0.9326688078953176,0.9519005736766116,0.961700374749015,0.9694109953034348
6,ibmq_montreal,linear,1000,['ry'],cx,7,0,7,5,0,0.9527989545238612,0.9009949664843692,0.9278722879158692,0.946862562430947,0.9631495686852916,0.968913388318514,0.9724973135765674
7,ibmq_montreal,linear,1000,['ry'],cx,7,1,14,15,6,0.9111907139607112,0.8596590718463785,0.8760419111055302,0.8969706965673403,0.9270621950062344,0.94141788376814,0.9491002486667248
8,ibmq_montreal,linear,1000,['ry'],cx,7,2,21,21,12,0.8784021605057153,0.8415989111404262,0.8455072932273373,0.8711824998660262,0.895101809718163,0.9150939704895634,0.92612748601613
9,ibmq_montreal,linear,1000,['ry'],cx,10,0,10,5,0,0.8605459736624836,0.7167588280183154,0.7646799716047247,0.8326413109193795,0.8784081029619676,0.9017862206725136,0.9206461524144376
10,ibmq_montreal,linear,1000,['ry'],cx,10,1,20,18,9,0.6992543181524096,0.5844632446910846,0.6158296945135964,0.6706369925610168,0.7250711914099061,0.756312794361904,0.7735914211696273
11,ibmq_montreal,linear,1000,['ry'],cx,10,2,30,24,18,0.6303414549942412,0.5573928009600195,0.5799601256857628,0.610369056060839,0.6508856902203454,0.6797256963262343,0.6957895795505966
