,backend,archt,shots,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
2,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,0,5,5,0,0.9549819944247612,0.6005556942487862,0.644291689543081,0.8345534300435513,0.9790319828669896,0.9911176191886552,0.9950868534100268
5,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,1,10,24,4,0.8842071389325601,0.4730642246776693,0.5585818573235202,0.7481423664814073,0.9459170422309828,0.982296657359574,0.9904819066445496
8,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,2,15,33,8,0.79058964102825,0.5395721902341072,0.5652628757747753,0.7248310711305889,0.8644830565169046,0.9221131987124054,0.974758785927858
11,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,3,20,42,12,0.8289754214835671,0.5962809607827543,0.6668684711645125,0.7496004176154009,0.8827489983896057,0.9438768396726928,0.9611055259901484
14,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,4,25,51,16,0.8233249842292054,0.568604318839641,0.6252515268133242,0.7449355543083409,0.8739615046522415,0.9301447087761012,0.9456941267816964
17,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,5,30,60,20,0.804272722682971,0.5307797374385381,0.6433190597280714,0.7292665666795856,0.8441090101215177,0.9094107951675344,0.9460745607232024
20,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,6,35,69,24,0.7513062512535202,0.4750487947525792,0.5878084764396079,0.6871631690872679,0.8206152861162458,0.88406680966828,0.9272298613617508
23,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,7,40,78,28,0.7652390981757675,0.559420863387067,0.588912622284148,0.7094699047227031,0.8309643717791553,0.8896711292774716,0.901682329601432
26,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,8,45,87,32,0.740458205791479,0.5374126860995796,0.5699125694577157,0.6733575291730466,0.8051691905454273,0.8488654289218699,0.8758443605617748
29,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,9,50,96,36,0.7711189810811713,0.4839026284226355,0.5984920827137414,0.6765897235857453,0.8249120128294578,0.8649583553261679,0.8952147314706134
32,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,10,55,105,40,0.6799093258459603,0.476414543342756,0.551805864588989,0.618841582090672,0.764814896944644,0.8249359267859228,0.8479362767164804
35,ibmq_ehningen,linear,1000,['ry'],cz,True,True,False,False,5,11,60,114,44,0.7306567319603785,0.5066603894088225,0.5617870374157722,0.6521350983418177,0.7698289591543456,0.8349196602709362,0.8496635684902218
