,backend,qubits,layers,parameters,depth,cnots,mem,shots,p=0,p=5,p=25,p=50,p=75,p=95,p=100
0,ibmq_ehningen,3,0,3,5,0,False,1000,0.9891266370817274,0.9948816694510324,0.9965987096361404,0.9972327811626548,0.998103896915124,0.9992140130793358,0.9997287259381874
1,ibmq_ehningen,3,1,6,11,2,False,1000,0.9782834860716716,0.981385520145198,0.9908695240592088,0.9949504426217946,0.9964951076411048,0.9981683308157676,0.999611859514754
2,ibmq_ehningen,3,2,9,17,4,False,1000,0.9612951062077524,0.9808813779439848,0.9875531320797032,0.9919760309952086,0.9949458908404036,0.997588457361417,0.9981428400884956
3,ibmq_ehningen,5,0,5,5,0,False,1000,0.9834412480434066,0.985864499632018,0.9890641781849072,0.9908627009776106,0.9919861458802413,0.9939120558114548,0.9951748017355102
4,ibmq_ehningen,5,1,10,13,4,False,1000,0.9254241062932704,0.949872299114954,0.9678978552453054,0.9761077113207174,0.9813736341017004,0.9893858346006604,0.9905337903124446
5,ibmq_ehningen,5,2,15,19,8,False,1000,0.9017918746705752,0.9195716310366744,0.9408360884186782,0.9560091086615014,0.9621452871551202,0.9737492616295036,0.9784977217607418
6,ibmq_ehningen,7,0,7,5,0,False,1000,0.9536932055865542,0.9576248936644394,0.9683354041564136,0.9727936688634252,0.9773259133757536,0.9819532274221447,0.9860239564484748
7,ibmq_ehningen,7,1,14,15,6,False,1000,0.6374116107231572,0.8222285732854442,0.8837948229669805,0.9088397580920606,0.9308646525162642,0.947754572155764,0.9511647186543182
8,ibmq_ehningen,7,2,21,21,12,False,1000,0.8064495055299875,0.8415420606782312,0.8637777394202267,0.9013758881154792,0.9207342276042252,0.9356410026492415,0.946792699821692
9,ibmq_ehningen,10,0,10,5,0,False,1000,0.7853243456720788,0.8062212964305011,0.8909431823090519,0.9157384011234924,0.9281111172395654,0.9421532427822638,0.9527498822813724
10,ibmq_ehningen,10,1,20,18,9,False,1000,0.5210520798892269,0.5596617983885532,0.6520278865785459,0.7029523116293037,0.7700978676613142,0.8039625806534502,0.8427218058194863
11,ibmq_ehningen,10,2,30,24,18,False,1000,0.3264848215791192,0.47095520093434,0.5308990921023423,0.5713108868260877,0.6111954155484669,0.6614689630168548,0.6852333871551205
