,backend,archt,rotations,qubits,layers,parameters,depth,cnots,mem,shots,p=50
0,ibmq_ehningen,qaoa,['ry'],5,0,0,4,0,False,1000,0.9920667597525944
1,ibmq_ehningen,qaoa,['ry'],5,2,4,32,16,False,1000,0.9571398893895092
2,ibmq_ehningen,qaoa,['ry'],5,4,8,54,32,False,1000,0.9326049112615532
3,ibmq_ehningen,qaoa,['ry'],5,6,12,76,48,False,1000,0.8955336042163572
4,ibmq_ehningen,qaoa,['ry'],5,8,16,98,64,False,1000,0.8846939785235426
5,ibmq_ehningen,qaoa,['ry'],5,10,20,120,80,False,1000,0.8800233340667161
6,ibmq_ehningen,qaoa,['ry'],5,12,24,142,96,False,1000,0.856082024170901
7,ibmq_ehningen,qaoa,['ry'],5,14,28,164,112,False,1000,0.8423536410070489
8,ibmq_ehningen,qaoa,['ry'],5,16,32,186,128,False,1000,0.8369757281282242
9,ibmq_ehningen,qaoa,['ry'],5,18,36,208,144,False,1000,0.8204557895325616
10,ibmq_ehningen,qaoa,['ry'],5,20,40,230,160,False,1000,0.8044878838864741
11,ibmq_ehningen,qaoa,['ry'],5,22,44,252,176,False,1000,0.8269509087308269
12,ibmq_ehningen,qaoa,['ry'],5,24,48,274,192,False,1000,0.8082391378803261
13,ibmq_ehningen,qaoa,['ry'],5,26,52,296,208,False,1000,0.8020850348875932
14,ibmq_ehningen,qaoa,['ry'],5,28,56,318,224,False,1000,0.8034760616403278
15,ibmq_ehningen,qaoa,['ry'],5,30,60,340,240,False,1000,0.7987933974010817
16,ibmq_ehningen,qaoa,['ry'],5,32,64,362,256,False,1000,0.8321932902237263
17,ibmq_ehningen,qaoa,['ry'],5,34,68,384,272,False,1000,0.7835106394447362
