,backend,archt,shots,rotations,entangler,qubits,layers,parameters,depth,cnots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibm_auckland,linear,1000,['ry'],cx,3,0,3,5,0,0.997173151962108,0.9907440677335831,0.9934864417662188,0.9961948001835615,0.9983038562363478,0.9991962464821248,0.9992439980452243
1,ibm_auckland,linear,1000,['ry'],cx,3,1,6,11,2,0.9946631556769028,0.9779323308013792,0.9824090620379732,0.9923483772193558,0.9961127204930786,0.997900813587228,0.9992560641308929
2,ibm_auckland,linear,1000,['ry'],cx,3,2,9,17,4,0.99105322557414,0.960040625390412,0.9810101757736612,0.9878866083449988,0.994177430379632,0.9967643588640296,0.997725004804398
3,ibm_auckland,linear,1000,['ry'],cx,5,0,5,5,0,0.990075254205211,0.9784536169269936,0.983662117969327,0.9876694558364004,0.991645223710097,0.9932409687114908,0.9944868003318634
4,ibm_auckland,linear,1000,['ry'],cx,5,1,10,13,4,0.9813394219147084,0.959519435312868,0.9642263453022436,0.9752946428631952,0.9851620137335338,0.9882567615780656,0.9939616355550538
5,ibm_auckland,linear,1000,['ry'],cx,5,2,15,19,8,0.9662958703198796,0.9284113493460856,0.9358064937452816,0.9607639876270976,0.9744554773727192,0.9820379773550532,0.9838707757084064
6,ibm_auckland,linear,1000,['ry'],cx,7,0,7,5,0,0.973815909754794,0.9574330552164872,0.962415156094287,0.9680809546965736,0.9790747973824492,0.9831095653361244,0.9860834585795902
7,ibm_auckland,linear,1000,['ry'],cx,7,1,14,15,6,0.9261032412903926,0.7933643046013503,0.8475682396746738,0.9040950721714412,0.9439813801243624,0.954368271725449,0.9643565753604226
8,ibm_auckland,linear,1000,['ry'],cx,7,2,21,21,12,0.9136148341035956,0.8489705412786981,0.8643648008666233,0.8944206855857243,0.9242523339452496,0.9433144745327614,0.9461447256148852
9,ibm_auckland,linear,1000,['ry'],cx,10,0,10,5,0,0.9111524819373754,0.7804545226598576,0.797710961274649,0.8845912303879875,0.9289012947658828,0.939842946380114,0.9443753208095528
10,ibm_auckland,linear,1000,['ry'],cx,10,1,20,18,9,0.6671201651070054,0.3562405681915777,0.4535614284993672,0.5818691086769532,0.7444653078805095,0.7912880653794437,0.8051285562627821
11,ibm_auckland,linear,1000,['ry'],cx,10,2,30,24,18,0.6579950223036892,0.3416939764580732,0.5761881771226088,0.6268137386210599,0.692463993822557,0.7367595738573484,0.7720947911439863
