,backend,qubits,layers,parameters,depth,cnots,mem,shots,p=0,p=5,p=25,p=50,p=75,p=95,p=100
0,ibm_hanoi,3,0,3,5,0,False,1000,0.9758172448641442,0.981295720644638,0.9946626413268456,0.9964528152096191,0.9980855233138208,0.9989249581617148,0.9993765731629596
1,ibm_hanoi,3,1,6,11,2,False,1000,0.9656555888855768,0.9723543141475648,0.9859624393909696,0.9925763094646768,0.995776460236659,0.997966281621024,0.9989479217028968
2,ibm_hanoi,3,2,9,17,4,False,1000,0.954451347047554,0.977332699026621,0.9868930253737092,0.9901888909138012,0.9934734096100802,0.9972681474745017,0.998195230899708
3,ibm_hanoi,5,0,5,5,0,False,1000,0.9713415191433712,0.9781125220602624,0.9834144104811572,0.9874226433605892,0.9907969083060142,0.9932678893161832,0.993829661870754
4,ibm_hanoi,5,1,10,13,4,False,1000,0.918149145813967,0.924058107998351,0.9611010430054376,0.9696901847804827,0.974586341801549,0.9853838013948278,0.988084797997596
5,ibm_hanoi,5,2,15,19,8,False,1000,0.8687060943541502,0.908345886954537,0.9274596296821712,0.9398793081931482,0.9488548970917744,0.9613451402025708,0.9656229378760725
6,ibm_hanoi,7,0,7,5,0,False,1000,0.9525612705134217,0.9602819488151084,0.9661570597045124,0.9710539832355984,0.976365530120868,0.9791859510826292,0.9819959675614996
7,ibm_hanoi,7,1,14,15,6,False,1000,0.8448559915288578,0.8618560974587214,0.8940949595024896,0.9131510489332048,0.9306941031835736,0.9439313887668144,0.9506371971829208
8,ibm_hanoi,7,2,21,21,12,False,1000,0.7737549927006665,0.8125103002833356,0.8565345684134069,0.8756279550264026,0.8927736870726822,0.9153444033574376,0.9238232124379184
9,ibm_hanoi,10,0,10,5,0,False,1000,0.785936322768456,0.7950461833063246,0.8846522084969599,0.907690314010258,0.9197513275758468,0.9360237667467648,0.9489320886802664
10,ibm_hanoi,10,1,20,18,9,False,1000,0.4808359741222468,0.5726592195536221,0.6464938583275908,0.7069107209562007,0.7450908335176765,0.7732488088499408,0.7828981915098993
11,ibm_hanoi,10,2,30,24,18,False,1000,0.4792150381997623,0.5672346998494032,0.6162901738007941,0.6380381705721618,0.6627101451070326,0.7015080675548409,0.7218148223788683
