,backend,archt,rotations,entangler,qubits,layers,parameters,depth,cnots,mem,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
1,ibmq_ehningen,linear,['ry'],cz,5,0,5,5,0,False,1000,0.9901223171436015,0.9740568960110744,0.98447430006791,0.988478219152119,0.992153052397793,0.9943975539137092,0.9962851056479052
3,ibmq_ehningen,linear,['ry'],cz,5,1,10,24,4,False,1000,0.9760905904257364,0.9455873767677002,0.9497305491507628,0.9693055425238468,0.9816763928027804,0.9867083168785484,0.9912670583721532
5,ibmq_ehningen,linear,['ry'],cz,5,2,15,33,8,False,1000,0.9672165454895444,0.9214389347994212,0.9384835921561248,0.9542530499714256,0.9735883735879974,0.9790269796837984,0.9877549742492588
7,ibmq_ehningen,linear,['ry'],cz,5,3,20,42,12,False,1000,0.8739644919536034,0.6391955797294938,0.7602743153461698,0.8370118134393049,0.9038306362204253,0.9260465073488172,0.9387361422125912
9,ibmq_ehningen,linear,['ry'],cz,5,4,25,51,16,False,1000,0.8280847969294344,0.6560664900481372,0.6760431642279637,0.7554317275317936,0.8492405886252417,0.8702854374857465,0.9072434494305078
11,ibmq_ehningen,linear,['ry'],cz,5,5,30,60,20,False,1000,0.7791708978757125,0.6119194118830203,0.6521571545821356,0.7328389077507446,0.8226156575789413,0.8578941538065601,0.8765792689566309
13,ibmq_ehningen,linear,['ry'],cz,5,6,35,69,24,False,1000,0.7243646380324391,0.5089582949031543,0.5652855022739381,0.6830003337448128,0.7506347243749296,0.798724937299221,0.8272064495478065
15,ibmq_ehningen,linear,['ry'],cz,5,7,40,78,28,False,1000,0.7112436273054987,0.5098782490207288,0.5279206459548552,0.6466386917217708,0.7666970784260881,0.7998309584310761,0.8503256612081007
17,ibmq_ehningen,linear,['ry'],cz,5,8,45,87,32,False,1000,0.6826896871490564,0.4777297001290836,0.5505330733870488,0.6317207200276546,0.7284365317999766,0.7967196186337957,0.8358140401504587
19,ibmq_ehningen,linear,['ry'],cz,5,9,50,96,36,False,1000,0.6671738261511873,0.4618798454191271,0.5459066972556875,0.61705326530458,0.7013140794445956,0.7623772441560042,0.7832258110902541
21,ibmq_ehningen,linear,['ry'],cz,5,10,55,105,40,False,1000,0.6459854154631051,0.3480283129502278,0.5198902016364256,0.59382603546084,0.6940216798592925,0.7406814591512813,0.7677035878565177
23,ibmq_ehningen,linear,['ry'],cz,5,11,60,114,44,False,1000,0.6351807877561081,0.4380790716246818,0.4522556507742097,0.5768290818161436,0.6853158937407053,0.7386749755258396,0.7612897317667686
