,backend,archt,rotations,entangler,sabre,mapomatic,DD,mem,qubits,layers,parameters,depth,cnots,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,0,5,5,0,1000,0.9913995474152434,0.9839423115426024,0.985233056000338,0.9882865460838656,0.9925340275362738,0.9950051818997806,0.9963284738800972
1,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,1,10,24,4,1000,0.9817345392116996,0.9291109965491964,0.9696647459155452,0.9783566963292808,0.985735019840322,0.98910722009177,0.99242056425266
2,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,2,15,33,8,1000,0.9744509305003186,0.9161830188422316,0.958484701285178,0.9711613181165636,0.9811682911936046,0.9875050980235748,0.9921507441110796
3,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,3,20,42,12,1000,0.8742914468925131,0.6367449639834847,0.7056773836490122,0.8041306341820664,0.9216805631365862,0.9406734051567096,0.9504886104787464
4,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,4,25,51,16,1000,0.7951311650412547,0.6280830534141992,0.6451127400859993,0.7584697426131576,0.8467125045545592,0.9022258147309956,0.9192146015321438
5,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,5,30,60,20,1000,0.7620523271991593,0.4736449592444015,0.6132444518007483,0.7147355153564494,0.8118814204332689,0.8535806533725623,0.8839465162529354
6,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,6,35,69,24,1000,0.7113616315551139,0.4798122159610226,0.5485585022650539,0.6498708083382021,0.770641669728786,0.8217687413576881,0.8780257234683505
7,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,7,40,78,28,1000,0.6835481839342146,0.4010716589187648,0.5043027091967174,0.6156031155971342,0.7231086143915695,0.8010848073032892,0.8375203749407446
8,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,8,45,87,32,1000,0.6701112849771507,0.4011973056328093,0.5346525169484454,0.5999825071833351,0.7249264841114405,0.8138098907168178,0.8483640407871329
9,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,9,50,96,36,1000,0.6663991652523428,0.4407125046981107,0.4667245579864346,0.5901653112828598,0.7165352769540262,0.7754138619776259,0.825027997060444
10,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,10,55,105,40,1000,0.6424424501249157,0.2625534668517104,0.4287007179718064,0.5670325551972586,0.6903737397625467,0.7605349913163233,0.8093239390414653
11,ibmq_ehningen,linear,['ry'],cz,True,True,False,True,5,11,60,114,44,1000,0.6122620867665562,0.3511937613717248,0.4515615484784258,0.5232324866726059,0.6703966701528157,0.7572792893321278,0.8060318177271725
