exp_id,job_id,job_time,backend,shots,archt,qubits,layers,operator,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
4fb575bc-71aa-407f-bf9b-debd83492190,['5b192fab-6b6c-4eca-84ff-82de4ebdd516'],"09/07/2022, 17:12:23",simulator,1000,linear,5,1,Paulis,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
30cfc81b-a2c8-45e3-88ab-009861cac21a,['4f212fdd-c96f-496c-b458-66fb338123d2'],"09/07/2022, 17:33:48",simulator,1000,linear,5,1,Sato21,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
4afac88b-c7c7-4dd0-b1b2-1971ef8bebab,['ef4e8b91-be94-4e76-a8cc-0e6cfd2769bf'],"09/07/2022, 17:34:01",simulator,1000,linear,5,1,SatoLiu21,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
9257207d-3b84-49f6-92c8-8a8d92fcee26,['c0ce2f77-39cd-4a31-908e-5cb78863edec'],"09/07/2022, 17:34:12",simulator,1000,linear,5,1,SatoLiu21_efficient,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
73bc23a0-ec07-40f6-92ed-ac374a48d7c6,['62c9a17e1c9300c5ad09ef87'],"09/07/2022, 17:40:46",ibmq_ehningen,1000,linear,5,1,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
07bbccb4-fdf4-4e40-8a07-91cd036a657d,['62c9a1b06c2b5004ddc60301'],"09/07/2022, 17:41:36",ibmq_ehningen,1000,linear,5,1,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c293edfc-e6bc-4008-b71b-ee1c84316be3,['62c9a1cc800aadb4174ceba7'],"09/07/2022, 17:42:04",ibmq_ehningen,1000,linear,5,1,SatoLiu21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
e86d1948-0aaf-483f-b069-c95da4f92fc2,['62c9a1e4800aadbd274ceba8'],"09/07/2022, 17:42:28",ibmq_ehningen,1000,linear,5,1,SatoLiu21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
37fad0d6-37a7-48c3-a616-af1639405f83,['62c9a780800aad4ec04cebad'],"09/07/2022, 18:06:24",ibmq_ehningen,1000,linear,5,0,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c63b651e-9ef2-492d-aeee-c5f7c695fffa,['62c9a7ae800aad65ab4cebae'],"09/07/2022, 18:07:10",ibmq_ehningen,1000,linear,5,2,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c9e9eee7-891f-4ed6-9ce1-1ae5a86f6ffa,['62c9a7df6c2b506fc5c60303'],"09/07/2022, 18:07:59",ibmq_ehningen,1000,linear,5,3,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c8f6fac6-74fd-432c-a8f3-2ca0ff6517aa,['62c9a812800aad09d84cebaf'],"09/07/2022, 18:08:50",ibmq_ehningen,1000,linear,5,4,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
bb08cb49-85a4-4e01-944a-cab14544011e,['62c9a8486c2b5005b4c60304'],"09/07/2022, 18:09:44",ibmq_ehningen,1000,linear,5,5,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
7e05f887-0aca-444e-96f0-eab1be1af64e,['62c9a8821c93000cbc09ef8d'],"09/07/2022, 18:10:42",ibmq_ehningen,1000,linear,5,6,Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
aa44f930-3e50-4ee5-bcc1-7b4db316c034,['62c9a8941c9300e3b709ef8e'],"09/07/2022, 18:11:00",ibmq_ehningen,1000,linear,5,0,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
8fa04e49-18f1-41be-8242-2de5e5e8f0d9,['62c9a8a2fdb4a8ad0342b124'],"09/07/2022, 18:11:14",ibmq_ehningen,1000,linear,5,2,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
cfa3194a-b2b4-4a58-81c3-86425a1f4e68,['62c9a8b1fdb4a8631742b125'],"09/07/2022, 18:11:29",ibmq_ehningen,1000,linear,5,3,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
31b0e1ad-eef7-4aa1-a9fa-585de33f08e6,['62c9a8bf1c9300ffc509ef8f'],"09/07/2022, 18:11:43",ibmq_ehningen,1000,linear,5,4,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
e263cef1-6b2e-4765-b245-96bb9724fa8a,['62c9a8ce6c2b5015b2c60305'],"09/07/2022, 18:11:58",ibmq_ehningen,1000,linear,5,5,Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
