exp_id,job_id,backend,archt,qubits,layers,parameters,depth,cnots,operator,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD,relative,mem,mean,std,p=0,p=1,p=5,p=10,p=25,p=50,p=75,p=90,p=95,p=99,p=100,shots
4fb575bc-71aa-407f-bf9b-debd83492190,['5b192fab-6b6c-4eca-84ff-82de4ebdd516'],aer_simulator,linear,5,1,10,"[9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 8, 8, 9, 9, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Paulis,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.0155314011905248,0.0123628163657306,0.0003994951595684,0.0010171340301107,0.0022759971505256,0.0031677510943421,0.0070543361593664,0.012030412034756,0.021110667572264,0.0305032078991982,0.0356474648552599,0.0546524961192983,0.0611002976750233,1000.0
30cfc81b-a2c8-45e3-88ab-009861cac21a,['4f212fdd-c96f-496c-b458-66fb338123d2'],aer_simulator,linear,5,1,10,"[6, 13]","[0, 1]",Sato21,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.0143963049193295,0.0127497499641074,0.0007993668386875,0.000880850081931,0.0010131252527798,0.0018221729864046,0.0048750402378963,0.009852395085444,0.023134518246777,0.0358335468459867,0.0386443763457453,0.0463591510458105,0.0514704524147051,1000.0
4afac88b-c7c7-4dd0-b1b2-1971ef8bebab,['ef4e8b91-be94-4e76-a8cc-0e6cfd2769bf'],aer_simulator,linear,5,1,10,"[6, 8, 9, 10, 11]","[0, 2, 3, 4, 5]",SatoLiu21,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.0203092710001049,0.0226318245202935,0.0001570655074695,0.0003289733783566,0.0013539582711247,0.0025710164969913,0.0051781307882978,0.009471648053549,0.0339245772992622,0.0454830348870807,0.0531263284779741,0.0991157302199259,0.1133949912368911,1000.0
9257207d-3b84-49f6-92c8-8a8d92fcee26,['c0ce2f77-39cd-4a31-908e-5cb78863edec'],aer_simulator,linear,5,1,10,"[6, 187]","[0, 100]",SatoLiu21_efficient,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.0165833655774229,0.0168721637746261,2.5253113577827943e-05,0.0002882046874549,0.0007098291535663,0.0016681750686561,0.0053162791503584,0.009984762524031,0.0235039409881639,0.0367493281392702,0.045398863437026,0.0743210839350514,0.074611896920849,1000.0
73bc23a0-ec07-40f6-92ed-ac374a48d7c6,['62c9a17e1c9300c5ad09ef87'],ibmq_ehningen,linear,5,1,10,"[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.1326154859258331,0.0713055053036122,0.0155834578395432,0.0213790976531184,0.0445616569074191,0.0579512699715264,0.0703288573921862,0.137711060203353,0.1802973917329825,0.2147550216899711,0.2439731227877553,0.2785823152307295,0.2872346133414732,1000.0
07bbccb4-fdf4-4e40-8a07-91cd036a657d,['62c9a1b06c2b5004ddc60301'],ibmq_ehningen,linear,5,1,10,"[23, 218]","[4, 114]",Sato21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.258506970807872,0.2472023641801439,0.0159369626991291,0.0210165657118058,0.0413349777625123,0.0667919934295602,0.1540566495098519,0.2204656155628346,0.2719647525389388,0.3418175123195185,0.5004518372713663,1.0635775257357072,1.2043589478517938,1000.0
c293edfc-e6bc-4008-b71b-ee1c84316be3,['62c9a1cc800aadb4174ceba7'],ibmq_ehningen,linear,5,1,10,"[23, 24, 25, 29, 48]","[4, 6, 8, 12, 13]",SatoLiu21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.1607872546691354,0.0583301938841546,0.0184347314930672,0.0295010871497434,0.0737665097764478,0.0846818594739065,0.1330963173881219,0.168170113374918,0.2016746457530184,0.2211516008337737,0.2421330607430853,0.2551365349980947,0.2583874035618471,1000.0
e86d1948-0aaf-483f-b069-c95da4f92fc2,['62c9a1e4800aadbd274ceba8'],ibmq_ehningen,linear,5,1,10,"[23, 24, 25, 29, 48]","[4, 6, 8, 12, 13]",SatoLiu21,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.1531935108750049,0.0623837221423568,0.0145327679216095,0.0149858104929083,0.0167979807781036,0.0622789669849065,0.125111832456607,0.1597940971033385,0.2061406570900624,0.2171178964484392,0.2206392783979062,0.2265435727836712,0.2280196463801125,1000.0
37fad0d6-37a7-48c3-a616-af1639405f83,['62c9a780800aad4ec04cebad'],ibmq_ehningen,linear,5,0,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.020918099731481,0.0300016775281716,0.0006653622229746,0.0007731404883571,0.0012042535498871,0.0019201478580716,0.0042750406382355,0.0100661981714343,0.0199153337009409,0.0419874240714778,0.062722368120745,0.1170156849883998,0.1305890142053136,1000.0
c63b651e-9ef2-492d-aeee-c5f7c695fffa,['62c9a7ae800aad65ab4cebae'],ibmq_ehningen,linear,5,2,15,"[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",Paulis,18,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,True,False,0.1796632790775197,0.1149623435930606,0.016815029268286,0.0180098540293939,0.0227891530738258,0.0275772477751521,0.0851125544682042,0.1722048068307112,0.2968924939820583,0.3304113735051496,0.3440012899142607,0.3754495503830805,0.3833116155002856,1000.0
