exp_id,job_id,error_type,backend,archt,rhs,qubits,layers,parameters,samples,shots,depth,cnots,operator,innerp,cost,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD,mem,mean,std,p=0,p=1,p=5,p=10,p=25,p=50,p=75,p=90,p=95,p=99,p=100
16aab2e0-ccfa-4373-b1ab-a2157dc2cc7f,['0f3c3fed-6757-4913-9734-5291a189256f'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.9092798993365699,0.13134762166823302,0.608093160033036,0.61588909821672,0.6470728509514557,0.6860525418698754,0.9435917505079436,0.967983987477308,0.9876457598609693,0.9904995311180806,0.9919096877107996,0.9930378129849747,0.9933198443035185
4ec8ee2d-cf28-4e5a-88e8-074d1b658b39,['0fd566b2-74c3-4861-b00f-68e0fb94094c'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Nonnorm,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.9984201696828487,0.0012156098095445229,0.9954308523144005,0.9955918019214615,0.9962356003497049,0.9970403483850093,0.9983462306129172,0.9986832225506361,0.9990228184633773,0.9997070479512051,0.9997519870860876,0.9997879383939935,0.9997969262209699
02fb212b-deb7-4ac4-ba27-f5640a1e0b01,['55edbc79-28f6-489a-85ed-882e0ebbf96e'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.5709613124760194,0.7463036786413222,-0.9710155791328147,-0.9604698144513028,-0.9182867557252549,-0.8655579323176951,0.767204112823068,0.9774337789719021,0.9903915383355664,0.9948635465545274,0.9950034727152293,0.9951154136437907,0.9951433988759312
5a374b2e-d836-4b6d-8cd2-1738e4a8969f,['0c279f1a-a895-4563-af2a-0f3d3c5230fd'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Nonnorm,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.9987506064034646,0.0007198163195768286,0.9974663349098861,0.9975106673534314,0.9976879971276126,0.997909659345339,0.9982702126220883,0.9987353990656199,0.9993785361629477,0.9995807531513945,0.9996952071226214,0.999786770299603,0.9998096610938484
2380bab9-e007-474d-b696-79f617e50a68,"['63331d227fcd17385073cd47', '63331d276ebe090030fb124b', '63331d29c59fb12504b07bd0', '63331d2b6ebe094f30fb124c', '63331d2fc59fb1f387b07bd1', '63331d316ebe09c17ffb124d', '63331d337fcd17126c73cd48', '63331d356ebe091f30fb124e', '63331d397fcd1720fc73cd49', '63331d3a6ebe09b657fb124f', '63331d3c7fcd1754cf73cd4a', '63331d3d6ebe09e6cefb1250']",cosine_sim,ibmq_ehningen,linear_alternating,hn,5,1,13,50,1000,"[18, 209, 287]","[4, 123, 97]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,,,,,,,,,,,,,
02fb212b-deb7-4ac4-ba27-f5640a1e0b01,['55edbc79-28f6-489a-85ed-882e0ebbf96e'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.5709613124760194,0.7463036786413222,-0.9710155791328147,-0.9604698144513028,-0.9182867557252549,-0.8655579323176951,0.767204112823068,0.9774337789719021,0.9903915383355664,0.9948635465545274,0.9950034727152293,0.9951154136437907,0.9951433988759312
5a374b2e-d836-4b6d-8cd2-1738e4a8969f,['0c279f1a-a895-4563-af2a-0f3d3c5230fd'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Nonnorm,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.9987506064034646,0.0007198163195768286,0.9974663349098861,0.9975106673534314,0.9976879971276126,0.997909659345339,0.9982702126220883,0.9987353990656199,0.9993785361629477,0.9995807531513945,0.9996952071226214,0.999786770299603,0.9998096610938484
2380bab9-e007-474d-b696-79f617e50a68,"['63331d227fcd17385073cd47', '63331d276ebe090030fb124b', '63331d29c59fb12504b07bd0', '63331d2b6ebe094f30fb124c', '63331d2fc59fb1f387b07bd1', '63331d316ebe09c17ffb124d', '63331d337fcd17126c73cd48', '63331d356ebe091f30fb124e', '63331d397fcd1720fc73cd49', '63331d3a6ebe09b657fb124f', '63331d3c7fcd1754cf73cd4a', '63331d3d6ebe09e6cefb1250']",cosine_sim,ibmq_ehningen,linear_alternating,hn,5,1,13,50,1000,"[18, 209, 287]","[4, 123, 97]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,,,,,,,,,,,,,
02fb212b-deb7-4ac4-ba27-f5640a1e0b01,['55edbc79-28f6-489a-85ed-882e0ebbf96e'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Innerp,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.5709613124760194,0.7463036786413222,-0.9710155791328147,-0.9604698144513028,-0.9182867557252549,-0.8655579323176951,0.767204112823068,0.9774337789719021,0.9903915383355664,0.9948635465545274,0.9950034727152293,0.9951154136437907,0.9951433988759312
5a374b2e-d836-4b6d-8cd2-1738e4a8969f,['0c279f1a-a895-4563-af2a-0f3d3c5230fd'],cosine_sim,aer_simulator,linear_alternating,hn,5,1,13,10,1000,"[5, 12, 77]","[0, 1, 26]",Sato21,HTest,Sato21_Nonnorm,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False,False,0.9987506064034646,0.0007198163195768286,0.9974663349098861,0.9975106673534314,0.9976879971276126,0.997909659345339,0.9982702126220883,0.9987353990656199,0.9993785361629477,0.9995807531513945,0.9996952071226214,0.999786770299603,0.9998096610938484
