job_id,job_time,backend,shots,archt,qubits,layers,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
fa1bb922-f6ba-4d24-bb3a-fc86de339fbe,"03/06/2022, 22:16:03",simulator,100,linear,"[1, 2, 3, 4]","[0, 1, 2, 3]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
486b46f8-3764-4970-8688-4c4ced9f7d2f,"03/06/2022, 22:16:04",simulator,100,linear,"[1, 2, 3, 4]","[0, 1, 2, 3]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a77691e5d5e8606df6d82,"03/06/2022, 23:04:41",ibmq_lima,100,linear,"[1, 2]","[1, 2]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a828c22557e212a6486ee,"03/06/2022, 23:52:12",ibm_perth,100,linear,"[1, 2]","[1, 2]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a83df16ca601a4b7e1dd5,"03/06/2022, 23:57:51",ibm_perth,100,linear,"[1, 2]","[1, 2]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a847b16ca60b6d57e1ddd,"04/06/2022, 00:00:27",ibm_perth,100,linear,"[1, 2]","[1, 2]",10,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
c33a232a-b7f7-4523-9449-b2e57915b424,"04/06/2022, 00:54:39",simulator,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a916101885c1ce4f34f2f,"04/06/2022, 00:55:29",ibmq_montreal,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a917916ca6068d37e1e07,"04/06/2022, 00:55:53",ibmq_toronto,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629a9191a70e337fca6090cb,"04/06/2022, 00:56:17",ibmq_kolkata,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b596b22557e3ca5648b19,"04/06/2022, 15:08:59",ibmq_toronto,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b598ad624bee7e9c8aed0,"04/06/2022, 15:09:30",ibmq_kolkata,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
f8f9871f-9188-4e70-a6fd-53b0643f6596,"04/06/2022, 18:50:37",simulator,1000,linear,"[3, 5, 7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b964ba70e33b63c6096ad,"04/06/2022, 19:28:42",ibmq_montreal,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b9669a38471eb654514f4,"04/06/2022, 19:29:13",ibmq_mumbai,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b9681b675fc70a01724b9,"04/06/2022, 19:29:37",ibmq_guadalupe,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b96b5b4d2d30d6e78ba82,"04/06/2022, 19:30:29",ibmq_brooklyn,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b96e1b4d2d3c95e78ba86,"04/06/2022, 19:31:12",ibm_hanoi,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b970c22557e025b648cbc,"04/06/2022, 19:31:56",ibm_cairo,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b972ce66b183cc54d177a,"04/06/2022, 19:32:28",ibm_auckland,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b97e2d624be658ec8b0a9,"04/06/2022, 19:35:30",ibm_washington,1000,linear,"[7, 10]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b985216ca6046d17e23c3,"04/06/2022, 19:37:22",ibmq_mumbai,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b9867c62352f6d59e2388,"04/06/2022, 19:37:43",ibmq_guadalupe,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b989416ca603c507e23c5,"04/06/2022, 19:38:28",ibmq_brooklyn,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
629b98a3a3847131304514fa,"04/06/2022, 19:38:43",ibmq_jakarta,1000,linear,"[3, 5]","[0, 1, 2]",50,['ry'],cx,rx,rzz,ryy,hadamards,True,True,False
