eval,fidelities_cost
0,0.0047699858674942
1,0.0047699858674942
2,0.0047699858674942
3,0.0047699858674942
4,0.0047699858674942
5,0.0047699858674942
6,0.0047699858674942
7,0.0047699858674942
8,0.0047699858674942
9,0.0047699858674942
10,0.0047699858674942
11,0.0047699858674942
12,0.0047699858674942
13,0.0047699858674942
14,0.0047699858674942
15,0.0047699858674942
16,0.0047699858674942
17,0.0047699858674942
18,0.0047699858674942
19,0.0047699858674942
20,0.0047699858674942
21,0.0047699858674942
22,0.0047699858674942
23,0.0047699858674942
24,0.0047699858674942
25,0.0047699858674942
26,0.0040424855580186
27,0.0015489874616654
28,0.0001496451946212
29,0.000903506761328
30,0.0022862825220796
31,0.0033031285074657
32,0.0078652599059898
33,0.0022214235217026
34,0.0031333527142676
35,0.0010574125739961
36,0.0074555517520166
37,0.000189094132859
38,0.0005324752670814
39,0.0090242023244174
40,0.018502257669741
41,0.0197422176009145
42,0.0117445130443574
43,0.0046189274945557
44,3.900060671732921e-05
45,0.0125751850176041
46,0.0029702575482844
47,0.0087177686640182
48,0.0002475725799186
49,0.013394535073722
50,0.0165219295825016
51,0.0069768441275754
52,0.0016011476955234
53,0.0019970642629116
54,0.0032548907179704
55,0.0040234663753407
56,0.0167467458389345
57,3.411483306163737e-06
58,0.0326734730096547
59,0.0016254482662516
60,0.0264126766926434
61,0.0512257733249356
62,0.0072443337026649
63,0.1284509400838236
64,0.2005264405980924
65,0.1541429010397126
66,0.2140898414885757
67,0.1989298350545241
68,0.1924260193349395
69,0.2002945223597766
70,0.1828245428879995
71,0.2594015160343096
72,0.1019149863065751
73,0.287685655626666
74,0.2193365722694874
75,0.332256716799088
76,0.3408156018097241
77,0.297480531981902
78,0.3323614732759842
79,0.2937306887448876
80,0.2006357755321515
81,0.3552945293397364
82,0.366479095802819
83,0.3005326511247906
84,0.3795834891457015
85,0.3454959357435379
86,0.3024294459314834
87,0.3419396271677141
88,0.2434367245029859
89,0.1954366036514378
90,0.2902064597288777
91,0.3153884698375373
92,0.3640237672010543
93,0.2422783278727651
94,0.3811850227966623
95,0.4125956278075825
96,0.3427304421026768
97,0.4263630860424218
98,0.4453461903533678
99,0.3244148703822005
100,0.2035671758233632
101,0.2201504875893595
102,0.1848483274728582
103,0.2206876251120373
104,0.257993115195975
105,0.1948653777069353
106,0.2890076539644467
107,0.1556313261511845
108,0.4020577448127227
109,0.425986854210273
110,0.2678534621241118
111,0.5587226195822156
112,0.6202275278455929
113,0.5290174124278026
114,0.6719189003354973
115,0.6648014732511789
116,0.5861229747570715
117,0.6940312014874558
118,0.6688399616689495
119,0.6182546744369308
120,0.5513254000311981
121,0.464522686080049
122,0.467229791121021
123,0.3974882908578644
124,0.4171123660521625
125,0.4381364324058307
126,0.3359536735317587
127,0.4122238762564703
128,0.4445327253998266
129,0.33873978834241
130,0.4273867663797984
131,0.3103645707401059
132,0.4827337532812615
133,0.2073459097549282
134,0.5312313439940919
135,0.274710011571557
136,0.5428336229242431
137,0.6247094159227716
138,0.3677103864078331
139,0.6021525888531645
140,0.6082971984886248
141,0.5533211540880808
142,0.5803511770946509
143,0.6544095291991905
144,0.4574257303226036
145,0.6515227731629406
146,0.6486608207227862
147,0.5423469739924989
148,0.5598755081270895
149,0.5839353912761679
150,0.4808504068051492
151,0.5530954972640605
152,0.4582409311518342
153,0.6016936855800504
154,0.5970705314770586
155,0.6255558873994542
156,0.5126272882202756
157,0.6065344929771704
158,0.5978611059553147
159,0.5813294711969945
160,0.5567763972014612
161,0.4348675204971139
162,0.6064674105429081
163,0.5848962614509692
164,0.5945522983768095
165,0.455263253746793
166,0.30949075422303
167,0.5662399299401034
168,0.5600483017936356
169,0.5187671773456561
170,0.4526632884839316
171,0.5075962266013523
172,0.3633010806259422
173,0.3474429115166264
174,0.3014607977512739
175,0.2231460989059328
176,0.3698865391619695
177,0.10548583711377
178,0.4693183278893655
179,0.4876420739382329
180,0.3241812136222606
181,0.4010743631206768
