eval,fidelities_cost
0,0.0607580456175119
1,0.0403076118172537
2,0.0529356562403751
3,0.0594443666117933
4,0.089147832070769
5,0.2462897628293781
6,0.0991200833598284
7,0.3824854574600852
8,0.3865755563533494
9,0.0876777667663059
10,0.3853727328541915
11,0.4727489606019424
12,0.6583513897883854
13,0.2658946500114694
14,0.6584089482136313
15,0.6655717065184449
16,0.1103792015193157
17,0.7124797727660733
18,0.7595836491221818
19,0.7547199252248652
20,0.8141113952136879
21,0.8007797230754673
22,0.839586592596402
23,0.8381579818219066
24,0.8623708444896326
25,0.8367824154344247
26,0.9004538327978735
27,0.9275658892740748
28,0.938719357436397
29,0.9520829490661922
30,0.948992714500226
31,0.959337270508064
32,0.9471708946466532
33,0.9601167206569666
34,0.9588539726776756
35,0.9590783755087832
36,0.9441231716191476
37,0.9508729249304632
38,0.953598822148327
39,0.95461624133861
40,0.9670507522882232
41,0.9696504657459754
42,0.979631812811088
43,0.9821615955314722
44,0.979426919822844
45,0.9794806966778318
46,0.9777701904186404
47,0.9739496845108684
48,0.9683259255773914
49,0.9684970329953152
50,0.9682078427590112
51,0.9817911335732948
52,0.9790272196109356
53,0.9788497844267312
54,0.9788420356011436
55,0.978334363101746
56,0.9791014313042794
57,0.9771614087223682
58,0.9859253870547544
59,0.9919945000078892
60,0.9929590587273576
61,0.99382969405625
62,0.9970824745384698
63,0.9976197374087116
64,0.99546308047487
65,0.994319155091012
66,0.9956076688199058
67,0.9934615273618336
68,0.9949985745593878
