exp_id,job_id,job_time,backend,shots,archt,qubits,layers,rhs,innerp,qae,qae_method,max_power,iae_epsilon_target,iae_alpha,fae_delta,fae_rescale,samples,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
b1fbf93c-03a1-4d06-96c6-bc19b99e5e50,['794b2ee3-9120-40dd-9c22-250aa6967fd1'],"24/06/2022, 11:43:35",simulator,[1000],linear,3,0,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
eb0bfe38-beb6-48bf-b934-e5594a3a2bbe,['0973e1a4-324e-4bdd-a8e4-57a8cdc096da'],"24/06/2022, 11:43:37",simulator,[1000],linear,3,1,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
8956d343-9bb3-4462-b732-606d8c37a5f1,['8290da5c-43a5-4224-8b9b-d53704d334e0'],"24/06/2022, 11:43:39",simulator,[1000],linear,3,2,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
5c842a35-df42-436c-807a-7012f3b89a13,['d0e8a964-50b5-4200-b46d-e04f5636efd4'],"24/06/2022, 11:43:42",simulator,[1000],linear,3,3,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
a16600e2-5e4d-47d8-9d27-9311e4d1ab7b,['51f69eb4-0fd8-4c47-affa-36c5ef67194c'],"24/06/2022, 11:43:44",simulator,[1000],linear,3,4,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
5f731f91-5c8b-4b52-9afe-bed22980b3c6,['9178cff4-0456-4ee8-9829-328eb14c5b1d'],"24/06/2022, 11:43:46",simulator,[1000],linear,3,5,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
5f84f133-af1e-404a-b1bd-9cd953da95b8,['08a9193c-7101-448e-83b1-7a30e7d383f0'],"24/06/2022, 11:43:48",simulator,[1000],linear,5,0,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
34a5c38c-9f4a-4e93-819e-22758d89ef9d,['7ec7e7d9-c52d-42b1-8a5d-0f5f6224b097'],"24/06/2022, 11:43:51",simulator,[1000],linear,5,1,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
7f268c25-2dbf-42ec-8962-c8224ba71cae,['473d2f88-4cb1-4566-ab7b-2d0b583c2b15'],"24/06/2022, 11:43:53",simulator,[1000],linear,5,2,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
4aee2bbc-21f2-453e-9ab4-079a7eafbe88,['a20538e2-ffa8-4e39-98a0-2db163fe2b00'],"24/06/2022, 11:43:55",simulator,[1000],linear,5,3,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
ece07592-98db-40de-a5ad-11b242265c67,['97a68e6b-35a5-46a1-a6cd-f2cf33a24520'],"24/06/2022, 11:43:58",simulator,[1000],linear,5,4,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
9426caef-910c-4965-93fb-4063ec2f85ef,['dae9e386-2912-4217-920b-cbc975e6dc13'],"24/06/2022, 11:44:01",simulator,[1000],linear,5,5,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
b22b922e-d18b-41f9-8f51-6af99fcd39d8,['0ecd5615-07fb-498c-aab2-66e79e09df65'],"24/06/2022, 11:44:03",simulator,[1000],linear,10,0,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
76810ef6-0927-4f23-91fd-4d620d13d5ab,['8a9139bc-1b47-4858-b3ea-fee92c7e3329'],"24/06/2022, 11:44:06",simulator,[1000],linear,10,1,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
bf23602b-0396-481a-ab7c-c9b5603d1223,['15ec1888-4bec-4ced-a764-7c82f06307eb'],"24/06/2022, 11:44:09",simulator,[1000],linear,10,2,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
a63cf254-241b-4ef7-b15b-d55c39b3caf5,['a740fec4-de34-4f6a-93ee-16469eff345b'],"24/06/2022, 11:44:12",simulator,[1000],linear,10,3,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
3e71bb72-4977-48bc-a1b6-924c0aa59762,['54568e9b-a3c8-4fa8-851f-9e1139dc2b0c'],"24/06/2022, 11:44:15",simulator,[1000],linear,10,4,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
939721ef-e74b-4b8b-8657-69e9fa639704,['3b0237af-0fc5-43d4-8943-7bb4af6e2802'],"24/06/2022, 11:44:18",simulator,[1000],linear,10,5,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
226445a5-68be-4413-80ec-baaef48934d5,['62b5877d4368ccd884cf0382'],"24/06/2022, 11:44:29",ibmq_ehningen,[1000],linear,3,0,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c2a35545-e3ed-49b2-9b90-dff723bdce8c,['62b58783f5e8ea4241a2e201'],"24/06/2022, 11:44:35",ibmq_ehningen,[1000],linear,3,1,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
8fcdb504-ef38-423b-8412-a9067265825c,['62b58789237e87a82d132641'],"24/06/2022, 11:44:41",ibmq_ehningen,[1000],linear,3,2,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
482f53c8-4406-4826-9a0e-22e942b0882a,['62b587904368cc5b2bcf0383'],"24/06/2022, 11:44:48",ibmq_ehningen,[1000],linear,3,3,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
0793ada1-5e72-4a6e-a8c9-d5b4cf9e391a,['62b587984368cc33c4cf0384'],"24/06/2022, 11:44:56",ibmq_ehningen,[1000],linear,3,4,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
bb86e54e-9912-4568-bc43-043cf3205cdd,['62b587a170abc2784cb1d9a3'],"24/06/2022, 11:45:05",ibmq_ehningen,[1000],linear,3,5,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
04f0103b-0107-4d38-8416-5dbc86c9cc96,['62b587a6f5e8ea73eca2e203'],"24/06/2022, 11:45:10",ibmq_ehningen,[1000],linear,5,0,hn,HTest,False,mlae,5,0.1,0.05,0.01,True,50,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
