Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,mem,DD
0,ehningen_14nov22,ibmq_ehningen,-3.379270892922161e-05,-0.0007034149071683186,,-3.379270892922161e-05,-0.0007034149071683186,0.003830253750338524,0.003830253750338524,,linear_alternating,hnx,5.0,3.0,29.0,2.0,False,10000.0,44.0,12.0,SatoLiu21,HTest,Sato21_Innerp,NFT,ry,cz,rx,rzz,ryy,hadamards,True,False,False,False
1,,,-3.463353391921735e-06,-0.0019511272862294635,,-7.05968073127106e-05,-0.00947707006511692,0.02227045213351306,0.0036010924868111133,,,,,,,,,,45.0,14.0,,,,,,,,,,,,,,
2,,,-6.791427709025115e-05,-0.00922407901915568,,-1.930558975621878e-06,-0.00998569758036392,0.02356413848398281,0.02176611254273761,,,,,,,,,,52.0,16.0,,,,,,,,,,,,,,
3,,,-2.2433875272991682e-05,-0.006705789509968002,,-5.72055366936544e-05,-0.00013467458990495607,0.00024831550561969096,0.02093759600332068,,,,,,,,,,61.0,18.0,,,,,,,,,,,,,,
4,,,-2.8548849155388955e-06,-0.0022059512907738857,,-7.10291284805329e-05,-9.929570007175724e-05,7.989203192450463e-05,0.00440217231374566,,,,,,,,,,68.0,20.0,,,,,,,,,,,,,,
5,,,-7.271591891632172e-05,-0.0024688610985342373,,-7.10291284805329e-05,-0.00011211725377209737,0.00010933525203593547,0.00895913692778834,,,,,,,,,,668.0,222.0,,,,,,,,,,,,,,
6,,,-2.9727451531328574e-05,-0.044523753051238395,,,-1.2717998329600192e-06,4.663008246365164e-05,0.09718382184227567,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,-5.219634734197813e-05,-4.319919548400366e-06,,,-0.00023773155383141164,0.001554609749809297,0.00010527955464843209,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,-6.781713593702814e-06,-0.00017021261031278668,,,-0.0001648310839581149,0.001005830449396285,0.0010592292367854004,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,-3.14775160599569e-05,-0.0005280165530171452,,,-0.0006153893613332629,0.0040538568405747944,0.002779946806698392,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,-2.6372428824410695e-05,-0.00028166070430033326,,,-0.0003374829288477952,0.0013938850705773333,0.001606777460921471,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,-2.913669064748158e-05,-0.003693177669123015,,,-0.0005305782450245117,0.0017916198320108796,0.013816779224976445,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,-4.9317614831482597e-05,-0.002359210227466488,,,-0.00016684851218641092,0.000639142007876671,0.010559059602623882,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,-6.370013611140198e-05,-0.0018265544290305732,,,-0.00023983612188650694,0.0009077710797871886,0.009004345283394893,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,-5.801074679241127e-06,-0.0019186173364219292,,,-0.0008257327096501796,0.0035059624725039696,0.007264851535553976,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,-2.6393751683273357e-06,-0.0020642354037357473,,,-0.0017427372571788464,0.0065167554721781715,0.016148350888052266,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,-2.0468010741230253e-05,-0.00025854111750287737,,,-0.001727033966476172,0.006474727082654006,0.005085941339771603,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,-6.253216675244632e-06,-0.00042532055832826044,,,-0.00020843753564290748,1.8237266297501027e-05,0.006157222771525021,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,-6.435354726584294e-05,-0.002119506556676936,,,-0.0001252904195888876,8.272056930317464e-05,0.015207702973192802,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,-4.027224861949434e-05,-0.00043841543132541944,,,-0.005497449524195214,0.005132988981209111,0.011600403033589652,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,-1.383551114527238e-06,-0.0023980463693623302,,,-0.004407042861250517,0.0037436514384967734,0.03910427575536208,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,-2.782800185442762e-05,-0.002583522118616311,,,-0.004135759269042384,0.0032398932860921033,0.005320855382239389,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,-8.760402978536705e-08,-0.0005948146674983067,,,-0.004130170230531457,0.003231028628291137,0.00040581518949407713,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,-3.0209173522611798e-05,-0.0035744977021919234,,,-0.00420332012828709,0.003257806977398091,0.012474286646827829,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,-1.0686044026499033e-08,-0.007766213826750075,,,-0.003671662501212729,0.0024729191232287376,0.029428892537722677,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,-3.9726027397260654e-05,-0.0013308312230908136,,,-0.0035142468809547544,0.002222786689756526,0.004878776189373255,,,,,,,,,,,,,,,,,,,,,,,,,
