Iteration,custom_tag,backend,cost_approx,cost_exact,cosine_sim,acc_cost_approx,acc_cost_exact,fidelities,fidelities_cost,fidelities_grad,archt,rhs,qubits,layers,parameters,seed_init,exact,shots,depth,cnots,operator,innerp,cost,optimizer,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,mem,DD
0,ehningen_14nov22,ibmq_ehningen,8.28957334971874,8.740515872087856,,8.28957334971874,8.740515872087856,0.007823531314619193,0.007823531314619193,,linear_alternating,hnx,5.0,3.0,29.0,4.0,False,1000.0,44.0,12.0,SatoLiu21,HTest,Sato21_Nonnorm,NFT,ry,cz,rx,rzz,ryy,hadamards,True,True,True,False
1,,,4.845908694504924,4.770058506019903,,2.9961579941246588,4.531470232706465,0.001456021209427917,0.0023722015849653253,,,,,,,,,,45.0,14.0,,,,,,,,,,,,,,
2,,,10.259839712714315,10.287761114593232,,2.5678474582769595,3.957917663891649,0.00020718190806553988,0.00583435768700689,,,,,,,,,,52.0,16.0,,,,,,,,,,,,,,
3,,,4.612083805825217,4.595587508230656,,2.258342083368185,3.5645707965836104,0.008262514508231983,7.612145586215338e-05,,,,,,,,,,61.0,18.0,,,,,,,,,,,,,,
4,,,7.454233797638452,7.570711797454713,,0.7502591712114854,3.4637375509082893,0.005595184859887046,0.0039297984290025,,,,,,,,,,68.0,20.0,,,,,,,,,,,,,,
5,,,4.321404792322714,3.6370531998346327,,0.6829684099500437,3.30127956370333,0.016446921914321025,0.06341740127365002,,,,,,,,,,668.0,222.0,,,,,,,,,,,,,,
6,,,5.065489513198221,5.892563203827067,,0.6544887889306116,3.3083295631620833,0.016222525298493214,0.07408415532832846,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,4.1371134143355155,4.048684249956273,,0.05192369081117024,3.3028634488239894,0.01747056206892259,0.001689201236951853,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,5.221725947372479,4.85225483944861,,0.08096890902138011,1.978952454412759,0.021376183612098806,0.00764747115608116,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,4.47018171710707,2.977706849227728,,0.0634345100931425,1.9857190712914823,0.01886576861379509,0.22290928604017413,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,4.764537946445514,5.5376809592150185,,0.0015365228774972357,2.0018462981334206,0.019978280530944498,0.13421097122039854,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,7.145859476275856,6.774879735882162,,0.002832778117903204,2.055391064637833,0.015608419441189054,0.020823186341563393,,,,,,,,,,,,,,,,,,,,,,,,,
