exp_id,custom_tag,job_time,programm_id,backend,exact,shots,archt,rhs,qubits,layers,cost,operator,innerp,rotations,entangler,mixer,driver,driver_per,initial_qaoa,sabre,mapomatic,DD
c83aaac9-b526-4f1a-8012-4fcb5aa2b30f,testing,"01/10/2022, 18:16:54",123,simulator,False,1000,linear_alternating,hn,5,3,Sato21_Innerp,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
39942a55-f16a-4512-b436-2a8f34709838,testing,"01/10/2022, 18:21:23",123,simulator,False,1000,linear_alternating,hn,5,3,Sato21_Innerp,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
6d62f38a-bf19-47e1-805d-c31850847b0d,testing_alt,"01/10/2022, 18:22:31",123,simulator,False,1000,linear_alternating,hn,5,3,Sato21_Innerp,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
3de0bc09-ec1a-4f75-9e47-0f0909c7519d,testing_alt,"04/10/2022, 16:04:19",123,simulator,True,1000,linear_alternating,hn,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
5be63c01-dfb7-45b9-9e3d-e398854e184e,testing_alt,"04/10/2022, 16:16:16",123,simulator,True,1000,linear_alternating,hnx,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
1ae037d5-18cb-4a5d-abc5-2edd9bd5f603,testing_alt,"04/10/2022, 16:26:07",123,simulator,True,1000,linear_alternating,hnx,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
d1c3f93c-181d-43d7-bd30-18ef612ce102,testing_alt,"04/10/2022, 16:27:28",123,simulator,True,1000,linear_alternating,hnx,3,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
c9e3864d-0280-4b70-b352-f97f8232b73c,testing_alt,"04/10/2022, 16:30:01",123,simulator,True,1000,linear_alternating,hnx,3,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
88b70f8e-aac0-4280-94ff-f13a165736df,testing_alt,"04/10/2022, 16:40:52",123,simulator,True,1000,linear_alternating,hnx,3,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
25aea0ce-7871-4614-8f94-3c43e2610728,testing_alt,"04/10/2022, 17:03:43",123,simulator,True,1000,linear_alternating,hnx,3,1,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
733267d4-8f9b-4d15-8fcb-054cf0544420,testing_local,"05/10/2022, 10:29:24",123,simulator,True,1000,linear_alternating,hnx,3,3,BravoPrieto20_Local,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
4aa1e43b-e2b1-4644-9781-51fb6deef066,testing_local,"05/10/2022, 10:48:25",123,simulator,True,1000,linear_alternating,hnx,3,3,BravoPrieto20_Local,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
0357918d-de1f-4171-abdd-9ac0b5d291d8,testing_global,"05/10/2022, 10:54:40",123,simulator,True,1000,linear_alternating,hnx,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
989f2867-5d40-46b8-ab92-c160e44a3528,testing_global,"05/10/2022, 10:59:25",123,simulator,True,1000,linear_alternating,hnx,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
29cc7607-9b33-4e3d-94a2-c2ad75672aaf,testing_global,"05/10/2022, 11:16:37",123,simulator,True,1000,linear_alternating,hnx,5,3,BravoPrieto20_Global,Sato21,HTest,['ry'],cz,rx,rzz,ryy,hadamards,True,False,False
